Gene	Is gene significantly up- or downregulated in aging MII oocytes?	Source	Species
NDUFB10	down	Llonch 2021	human
LOC285889	down	Llonch 2021	human
MCUB	down	Llonch 2021	human
CLUH	down	Llonch 2021	human
TIMM9	down	Llonch 2021	human
KRTCAP2	down	Llonch 2021	human
PTS	down	Llonch 2021	human
ENSG00000270087	down	Llonch 2021	human
GPBP1L1	down	Llonch 2021	human
STX6	down	Llonch 2021	human
UBE2D3	down	Llonch 2021	human
NDUFB2	down	Llonch 2021	human
EEF1E1	down	Llonch 2021	human
ANKH	down	Llonch 2021	human
ENSG00000286351	down	Llonch 2021	human
KLHL7	down	Llonch 2021	human
SAT1	down	Llonch 2021	human
GNS	down	Llonch 2021	human
MRPL22	down	Llonch 2021	human
RPS15A	down	Llonch 2021	human
IQCH.AS1	down	Llonch 2021	human
POLR2J3.1	down	Llonch 2021	human
UHMK1	down	Llonch 2021	human
RBMX	down	Llonch 2021	human
RPL35A	down	Llonch 2021	human
DNAJB2	down	Llonch 2021	human
TUBGCP3	down	Llonch 2021	human
HMGCLL1	down	Llonch 2021	human
NDUFAB1	down	Llonch 2021	human
SSR3	down	Llonch 2021	human
UCHL3	down	Llonch 2021	human
MBIP	down	Llonch 2021	human
CDH1	down	Llonch 2021	human
MRPS18C	down	Llonch 2021	human
CCT4	down	Llonch 2021	human
NDFIP2	down	Llonch 2021	human
ANKRD22	down	Llonch 2021	human
BNIP2	down	Llonch 2021	human
POLR2M	down	Llonch 2021	human
ENSG00000280433	down	Llonch 2021	human
LPCAT1	down	Llonch 2021	human
PDPN	down	Llonch 2021	human
GRPEL2	down	Llonch 2021	human
ABHD17C	down	Llonch 2021	human
ENSG00000279168	down	Llonch 2021	human
BNC1	down	Llonch 2021	human
UNC13C	down	Llonch 2021	human
PRDM10	down	Llonch 2021	human
HJURP	down	Llonch 2021	human
RPL19	down	Llonch 2021	human
LAMTOR5	down	Llonch 2021	human
ENSG00000260257	down	Llonch 2021	human
MYPOP	down	Llonch 2021	human
FOXQ1	down	Llonch 2021	human
FLVCR2	down	Llonch 2021	human
ENSG00000285608	down	Llonch 2021	human
ENSG00000272667	down	Llonch 2021	human
ENSG00000287277	down	Llonch 2021	human
MICOS10	down	Llonch 2021	human
MIR22HG	down	Llonch 2021	human
TXNDC17	down	Llonch 2021	human
TSC22D2	down	Llonch 2021	human
ND1	down	Llonch 2021	human
ASDURF	down	Llonch 2021	human
MSH5	down	Llonch 2021	human
RPL18	down	Llonch 2021	human
ART5	down	Llonch 2021	human
ENSG00000233461	down	Llonch 2021	human
ENSG00000256968	down	Llonch 2021	human
AMMECR1L	down	Llonch 2021	human
FEM1B	down	Llonch 2021	human
ENSG00000259684	down	Llonch 2021	human
POLB	down	Llonch 2021	human
CHAC2	down	Llonch 2021	human
LOC652276	down	Llonch 2021	human
TIGIT	down	Llonch 2021	human
PPA1	down	Llonch 2021	human
MYL12A	down	Llonch 2021	human
ENSG00000226320	down	Llonch 2021	human
IRAK2	down	Llonch 2021	human
DMXL2	down	Llonch 2021	human
CISD2	down	Llonch 2021	human
ABAT	down	Llonch 2021	human
TMEM9B	down	Llonch 2021	human
C15orf61	down	Llonch 2021	human
NEK7	down	Llonch 2021	human
CCDC3	down	Llonch 2021	human
SPAST	down	Llonch 2021	human
ENSG00000248527	down	Llonch 2021	human
TTC39C	down	Llonch 2021	human
CDK15	down	Llonch 2021	human
SEC61G	down	Llonch 2021	human
CENPP	down	Llonch 2021	human
GDPGP1	down	Llonch 2021	human
JPT1	down	Llonch 2021	human
SMCR8	down	Llonch 2021	human
MRPS35	down	Llonch 2021	human
TENT5C	down	Llonch 2021	human
ELOVL5	down	Llonch 2021	human
YAP1	down	Llonch 2021	human
UHRF1	down	Llonch 2021	human
RNF2	down	Llonch 2021	human
PRPF31	down	Llonch 2021	human
TARSL2	down	Llonch 2021	human
TMEM167A	down	Llonch 2021	human
ORMDL1	down	Llonch 2021	human
ENSG00000269906	down	Llonch 2021	human
RBM8A	down	Llonch 2021	human
ROMO1	down	Llonch 2021	human
ATP5PF	down	Llonch 2021	human
PPIA	down	Llonch 2021	human
CHMP5	down	Llonch 2021	human
JPT2	down	Llonch 2021	human
PKD1L3	down	Llonch 2021	human
ENSG00000229344	down	Llonch 2021	human
ENSG00000248131	down	Llonch 2021	human
MRPS21	down	Llonch 2021	human
OOSP4B	down	Llonch 2021	human
RSL24D1	down	Llonch 2021	human
ARMH3	down	Llonch 2021	human
LINC01082	down	Llonch 2021	human
SNAP23	down	Llonch 2021	human
PSMD3	down	Llonch 2021	human
JAG1	down	Llonch 2021	human
TOR2A	down	Llonch 2021	human
INTS10	down	Llonch 2021	human
ZAR1L	down	Llonch 2021	human
TSPAN13	down	Llonch 2021	human
ATP5MD	down	Llonch 2021	human
SLC35B3	down	Llonch 2021	human
ENSG00000214301	down	Llonch 2021	human
PRKN	down	Llonch 2021	human
SCAT1	down	Llonch 2021	human
GGACT	down	Llonch 2021	human
ZNF850	down	Llonch 2021	human
PDCD5	down	Llonch 2021	human
EMC2	down	Llonch 2021	human
CCNG2	down	Llonch 2021	human
POMP	down	Llonch 2021	human
COQ2	down	Llonch 2021	human
RCBTB2	down	Llonch 2021	human
COX2	down	Llonch 2021	human
ERO1B	down	Llonch 2021	human
HK2	down	Llonch 2021	human
TJP3	down	Llonch 2021	human
AZIN1	down	Llonch 2021	human
SCOC	down	Llonch 2021	human
TUSC1	down	Llonch 2021	human
SHANK3	down	Llonch 2021	human
TGIF2	down	Llonch 2021	human
C5orf58	down	Llonch 2021	human
LPCAT4	down	Llonch 2021	human
PM20D2	down	Llonch 2021	human
RAB11A	down	Llonch 2021	human
ENSG00000259618	down	Llonch 2021	human
PHLDB2	down	Llonch 2021	human
SLC30A1	down	Llonch 2021	human
DYNLL1	down	Llonch 2021	human
CDCA4	down	Llonch 2021	human
SCAI	down	Llonch 2021	human
SYPL1	down	Llonch 2021	human
AKTIP	down	Llonch 2021	human
HSPB11	down	Llonch 2021	human
MAPK1IP1L	down	Llonch 2021	human
CASTOR1	down	Llonch 2021	human
UBE2Z	down	Llonch 2021	human
MRPL32	down	Llonch 2021	human
SNX18	down	Llonch 2021	human
OCLN	down	Llonch 2021	human
AKT3	down	Llonch 2021	human
TM2D1	down	Llonch 2021	human
TMED2	down	Llonch 2021	human
TIAL1	down	Llonch 2021	human
SRSF12	down	Llonch 2021	human
CELF2	down	Llonch 2021	human
LINC01819	down	Llonch 2021	human
ENSG00000229229	down	Llonch 2021	human
RPL13AP5	down	Llonch 2021	human
MEX3C	down	Llonch 2021	human
LATS2	down	Llonch 2021	human
RAB10	down	Llonch 2021	human
DEAF1	down	Llonch 2021	human
C9orf92	down	Llonch 2021	human
PAIP1	down	Llonch 2021	human
THRB	down	Llonch 2021	human
BHLHE40	down	Llonch 2021	human
COL6A3	down	Llonch 2021	human
ENSG00000226015	down	Llonch 2021	human
SAA1	down	Llonch 2021	human
TCL1B	down	Llonch 2021	human
NUDT5	down	Llonch 2021	human
VOPP1	down	Llonch 2021	human
SYDE2	down	Llonch 2021	human
DET1	down	Llonch 2021	human
MRS2	down	Llonch 2021	human
TRPM7	down	Llonch 2021	human
TMX2	down	Llonch 2021	human
PHLPP1	down	Llonch 2021	human
SPATA21	down	Llonch 2021	human
SCGB3A2	down	Llonch 2021	human
CMC2	down	Llonch 2021	human
ETFBKMT	down	Llonch 2021	human
GALNT18	down	Llonch 2021	human
ZIC1	down	Llonch 2021	human
ATP5MC3	down	Llonch 2021	human
PLEKHF2	down	Llonch 2021	human
OPA1	down	Llonch 2021	human
B4GALT6	down	Llonch 2021	human
UQCRH	down	Llonch 2021	human
CEP85L	down	Llonch 2021	human
PEX26	down	Llonch 2021	human
ENSG00000244716	down	Llonch 2021	human
ITGAE	down	Llonch 2021	human
GDF9	down	Llonch 2021	human
ZNF569	down	Llonch 2021	human
ENSG00000285811	down	Llonch 2021	human
ENSG00000224837	down	Llonch 2021	human
TM2D2	down	Llonch 2021	human
TMEM39A	down	Llonch 2021	human
ENSG00000279722	down	Llonch 2021	human
COMMD6	down	Llonch 2021	human
OXT	down	Llonch 2021	human
COX7B	down	Llonch 2021	human
ZNF567	down	Llonch 2021	human
HNRNPA2B1	down	Llonch 2021	human
UTRN	down	Llonch 2021	human
ELP1	down	Llonch 2021	human
ENSG00000274943	down	Llonch 2021	human
PRKAB1	down	Llonch 2021	human
TUBA1C	down	Llonch 2021	human
B3GNT4	down	Llonch 2021	human
HAL	down	Llonch 2021	human
WDR1	down	Llonch 2021	human
SLC12A5	down	Llonch 2021	human
STAT2	down	Llonch 2021	human
ENSG00000225548	down	Llonch 2021	human
COX16	down	Llonch 2021	human
ENSG00000254340	down	Llonch 2021	human
CPEB2	down	Llonch 2021	human
EBP	down	Llonch 2021	human
SNRPE	down	Llonch 2021	human
ENSG00000249209	down	Llonch 2021	human
B4GALT4	down	Llonch 2021	human
PTPRN2	down	Llonch 2021	human
PPP1R3D	down	Llonch 2021	human
TBCA	down	Llonch 2021	human
ENSG00000249042	down	Llonch 2021	human
RWDD4	down	Llonch 2021	human
CKS1B	down	Llonch 2021	human
HECTD2	down	Llonch 2021	human
MTMR3	down	Llonch 2021	human
GNA13	down	Llonch 2021	human
CNIH4	down	Llonch 2021	human
SLC10A3	down	Llonch 2021	human
CRISPLD1	down	Llonch 2021	human
WWP2	down	Llonch 2021	human
CASC20	down	Llonch 2021	human
HAUS3	down	Llonch 2021	human
SPAG7	down	Llonch 2021	human
PEX3	down	Llonch 2021	human
SDS	down	Llonch 2021	human
RBX1	down	Llonch 2021	human
CCDC27	down	Llonch 2021	human
EIF4H	down	Llonch 2021	human
STRAP	down	Llonch 2021	human
TAB2	down	Llonch 2021	human
PRPSAP2	down	Llonch 2021	human
KDM1A	down	Llonch 2021	human
TLE1	down	Llonch 2021	human
NDFIP1	down	Llonch 2021	human
CCDC126	down	Llonch 2021	human
LYRM4	down	Llonch 2021	human
MRPS28	down	Llonch 2021	human
NDUFB5	down	Llonch 2021	human
FBXL12	down	Llonch 2021	human
TTC41P	down	Llonch 2021	human
SCYL2	down	Llonch 2021	human
TMEM107	down	Llonch 2021	human
PSMG4	down	Llonch 2021	human
AMD1	down	Llonch 2021	human
PLPP5	down	Llonch 2021	human
ENSG00000204745	down	Llonch 2021	human
UGP2	down	Llonch 2021	human
SOAT1	down	Llonch 2021	human
EIF2B1	down	Llonch 2021	human
SNHG5	down	Llonch 2021	human
IKZF5	down	Llonch 2021	human
DPY19L3	down	Llonch 2021	human
ERICH2.1	down	Llonch 2021	human
NDUFA4	down	Llonch 2021	human
BCAR1	down	Llonch 2021	human
USP50	down	Llonch 2021	human
NDUFAF6	down	Llonch 2021	human
ARPC3	down	Llonch 2021	human
ENSG00000265984	down	Llonch 2021	human
CFTR	down	Llonch 2021	human
ADO	down	Llonch 2021	human
STAG3	down	Llonch 2021	human
ZNF506	down	Llonch 2021	human
SS18	down	Llonch 2021	human
COX10.AS1	down	Llonch 2021	human
KIAA1549L	down	Llonch 2021	human
SNX19	down	Llonch 2021	human
WRNIP1	down	Llonch 2021	human
RMI2	down	Llonch 2021	human
NDUFAF7	down	Llonch 2021	human
RPL15	down	Llonch 2021	human
ENSG00000214210	down	Llonch 2021	human
ETFRF1	down	Llonch 2021	human
SDE2	down	Llonch 2021	human
NSMCE3	down	Llonch 2021	human
PARS2	down	Llonch 2021	human
TGFBR1	down	Llonch 2021	human
EOGT	down	Llonch 2021	human
TSTD1	down	Llonch 2021	human
INSC	down	Llonch 2021	human
MRVI1.AS1	down	Llonch 2021	human
C13orf42	down	Llonch 2021	human
HERPUD2	down	Llonch 2021	human
RAD23B	down	Llonch 2021	human
SCARNA9	down	Llonch 2021	human
FHIT	down	Llonch 2021	human
MICU2	down	Llonch 2021	human
ENSG00000230711	down	Llonch 2021	human
SFXN2	down	Llonch 2021	human
LRRC8D	down	Llonch 2021	human
ENSG00000286859	down	Llonch 2021	human
ENSG00000146677	down	Llonch 2021	human
SH3GLB1	down	Llonch 2021	human
ENSG00000234782	down	Llonch 2021	human
ENSG00000242880	down	Llonch 2021	human
MX2	down	Llonch 2021	human
RPL37	down	Llonch 2021	human
ELAC1	down	Llonch 2021	human
HSPE1	down	Llonch 2021	human
ACOT13	down	Llonch 2021	human
ARMC10	down	Llonch 2021	human
ENSG00000237031	down	Llonch 2021	human
SNRPG	down	Llonch 2021	human
ENSG00000273338	down	Llonch 2021	human
RNF44	down	Llonch 2021	human
ENSG00000233762	down	Llonch 2021	human
PRKCG	down	Llonch 2021	human
DNAJC24	down	Llonch 2021	human
FUNDC1	down	Llonch 2021	human
RECQL4	down	Llonch 2021	human
TCF7	down	Llonch 2021	human
C15orf40	down	Llonch 2021	human
ENSG00000244398	down	Llonch 2021	human
PANK3	down	Llonch 2021	human
PRIM2	down	Llonch 2021	human
ENSG00000285471	down	Llonch 2021	human
PGK1	down	Llonch 2021	human
TRIP13	down	Llonch 2021	human
ADAM19	down	Llonch 2021	human
PIAS2	down	Llonch 2021	human
ENSG00000225243	down	Llonch 2021	human
CRK	down	Llonch 2021	human
SVBP	down	Llonch 2021	human
CNTN1	down	Llonch 2021	human
UFD1	down	Llonch 2021	human
ENSG00000237571	down	Llonch 2021	human
PRDX1	down	Llonch 2021	human
GAD1	down	Llonch 2021	human
SENP7	down	Llonch 2021	human
PSMB1	down	Llonch 2021	human
KIF26B	down	Llonch 2021	human
NACA	down	Llonch 2021	human
SARNP	down	Llonch 2021	human
STRN4	down	Llonch 2021	human
COX8A	down	Llonch 2021	human
GALNT2	down	Llonch 2021	human
EWSR1	down	Llonch 2021	human
ECD	down	Llonch 2021	human
POLR2F	down	Llonch 2021	human
ENSG00000285508	down	Llonch 2021	human
ENSG00000286192	down	Llonch 2021	human
ADSS	down	Llonch 2021	human
C1S	down	Llonch 2021	human
GNG5	down	Llonch 2021	human
CKS2	down	Llonch 2021	human
PDE10A	down	Llonch 2021	human
SENP2	down	Llonch 2021	human
ENSG00000228650	down	Llonch 2021	human
C1orf146	down	Llonch 2021	human
UBE2D1	down	Llonch 2021	human
SLC25A5	down	Llonch 2021	human
ENSG00000283341	down	Llonch 2021	human
CYB5A	down	Llonch 2021	human
DERL1	down	Llonch 2021	human
RAB2A	down	Llonch 2021	human
CD59	down	Llonch 2021	human
DCTPP1	down	Llonch 2021	human
PPRC1	down	Llonch 2021	human
ENSG00000279529	down	Llonch 2021	human
SELENOK	down	Llonch 2021	human
ABHD5	down	Llonch 2021	human
UXS1	down	Llonch 2021	human
RAB21	down	Llonch 2021	human
ADPGK	down	Llonch 2021	human
APBB2	down	Llonch 2021	human
TIFA	down	Llonch 2021	human
C1orf43	down	Llonch 2021	human
GALNT14	down	Llonch 2021	human
PSMG2	down	Llonch 2021	human
BCAS2	down	Llonch 2021	human
ENSG00000285725	down	Llonch 2021	human
ENSG00000232537	down	Llonch 2021	human
AK2	down	Llonch 2021	human
LINC00649	down	Llonch 2021	human
PTRHD1	down	Llonch 2021	human
ENSG00000250159	down	Llonch 2021	human
WBP1	down	Llonch 2021	human
TMEM256	down	Llonch 2021	human
POMZP3	down	Llonch 2021	human
ASIC1	down	Llonch 2021	human
BTG4	down	Llonch 2021	human
SYCP3	down	Llonch 2021	human
GABARAPL2	down	Llonch 2021	human
SYNC	down	Llonch 2021	human
GTF2A1	down	Llonch 2021	human
ATP6	down	Llonch 2021	human
UMODL1	down	Llonch 2021	human
SDHB	down	Llonch 2021	human
ZNF580	down	Llonch 2021	human
SNX15	down	Llonch 2021	human
LINC00174	down	Llonch 2021	human
SPATA33	down	Llonch 2021	human
LSM8	down	Llonch 2021	human
MGST2	down	Llonch 2021	human
LINC01498	down	Llonch 2021	human
RAMP1	down	Llonch 2021	human
RFLNB	down	Llonch 2021	human
CTNNB1	down	Llonch 2021	human
SLC16A5	down	Llonch 2021	human
NDUFA1	down	Llonch 2021	human
CLIC4	down	Llonch 2021	human
RNF181	down	Llonch 2021	human
MRFAP1	down	Llonch 2021	human
ATOX1	down	Llonch 2021	human
TMEM106B	down	Llonch 2021	human
TOR3A	down	Llonch 2021	human
ACOXL	down	Llonch 2021	human
C6orf136	down	Llonch 2021	human
BDH2	down	Llonch 2021	human
ENSG00000247627	down	Llonch 2021	human
BUB3	down	Llonch 2021	human
UPK3BL1	down	Llonch 2021	human
TSEN34	down	Llonch 2021	human
DHCR7	down	Llonch 2021	human
PNKD	down	Llonch 2021	human
COX6C	down	Llonch 2021	human
ZNF385D	down	Llonch 2021	human
NRG1	down	Llonch 2021	human
RGS2	down	Llonch 2021	human
IL15RA	down	Llonch 2021	human
COMMD10	down	Llonch 2021	human
NOL8	up	Llonch 2021	human
TNIK	up	Llonch 2021	human
ESCO2	up	Llonch 2021	human
AFDN	up	Llonch 2021	human
TPR	up	Llonch 2021	human
RSL1D1	up	Llonch 2021	human
THOC2	up	Llonch 2021	human
NEMF	up	Llonch 2021	human
TRIM77	up	Llonch 2021	human
KIF20B	up	Llonch 2021	human
C12orf65	up	Llonch 2021	human
PPIG	up	Llonch 2021	human
BMS1	up	Llonch 2021	human
CCDC18	up	Llonch 2021	human
ABCF1	up	Llonch 2021	human
WDR70	up	Llonch 2021	human
ENSG00000259132	up	Llonch 2021	human
GCC2	up	Llonch 2021	human
TSTD2	up	Llonch 2021	human
BAZ1A	up	Llonch 2021	human
ZRSR2	up	Llonch 2021	human
NOC3L	up	Llonch 2021	human
RBM41	up	Llonch 2021	human
ATRX	up	Llonch 2021	human
HSPH1	up	Llonch 2021	human
LONRF2	up	Llonch 2021	human
SRPK1	up	Llonch 2021	human
ERC1	up	Llonch 2021	human
CEP152	up	Llonch 2021	human
GPATCH11	up	Llonch 2021	human
LINC02303	up	Llonch 2021	human
CKAP2	up	Llonch 2021	human
PLEKHA5	up	Llonch 2021	human
NRXN3	up	Llonch 2021	human
PHF6	up	Llonch 2021	human
ENSG00000231043	up	Llonch 2021	human
LARP7	up	Llonch 2021	human
MDH1B	up	Llonch 2021	human
SLF1	up	Llonch 2021	human
RALBP1	up	Llonch 2021	human
CENPE	up	Llonch 2021	human
TRIP4	up	Llonch 2021	human
GPBP1	up	Llonch 2021	human
TCHP	up	Llonch 2021	human
RLF	up	Llonch 2021	human
ZCCHC17	up	Llonch 2021	human
CDK11B	up	Llonch 2021	human
CLSPN	up	Llonch 2021	human
CUL5	up	Llonch 2021	human
SMC2	up	Llonch 2021	human
XRCC4	up	Llonch 2021	human
DZIP3	up	Llonch 2021	human
ATP6V1D	up	Llonch 2021	human
NUSAP1	up	Llonch 2021	human
FNBP4	up	Llonch 2021	human
IQGAP2	up	Llonch 2021	human
LRMP	up	Llonch 2021	human
ZNF292	up	Llonch 2021	human
DNAJC17	up	Llonch 2021	human
TIMM44	up	Llonch 2021	human
CCDC171	up	Llonch 2021	human
COG2	up	Llonch 2021	human
FAM228A	up	Llonch 2021	human
ENSG00000184617	up	Llonch 2021	human
MSH3	up	Llonch 2021	human
UACA	up	Llonch 2021	human
DNAAF4	up	Llonch 2021	human
KNL1	up	Llonch 2021	human
ZSCAN26	up	Llonch 2021	human
PRPF40A	up	Llonch 2021	human
SNW1	up	Llonch 2021	human
OR51E1	up	Llonch 2021	human
SNAPC4	up	Llonch 2021	human
ILF3	up	Llonch 2021	human
PALM2.AKAP2	up	Llonch 2021	human
RNF32	up	Llonch 2021	human
OTUD6B.AS1	up	Llonch 2021	human
ENSG00000250687	up	Llonch 2021	human
CCDC146	up	Llonch 2021	human
HERC6	up	Llonch 2021	human
SOCS4	up	Llonch 2021	human
COPS7B	up	Llonch 2021	human
CCDC25	up	Llonch 2021	human
ATP6V0A1	up	Llonch 2021	human
C8orf76	up	Llonch 2021	human
ENSG00000241668	up	Llonch 2021	human
DNAJC8	up	Llonch 2021	human
ENSG00000268364	up	Llonch 2021	human
ENSG00000237301	up	Llonch 2021	human
RAD51AP1	up	Llonch 2021	human
NKX1.2	up	Llonch 2021	human
ZC3H13	up	Llonch 2021	human
LARS	up	Llonch 2021	human
TAX1BP1	up	Llonch 2021	human
CCDC186	up	Llonch 2021	human
WAPL	up	Llonch 2021	human
UBN1	up	Llonch 2021	human
PUM3	up	Llonch 2021	human
PES1	up	Llonch 2021	human
LIMA1	up	Llonch 2021	human
EIF3A	up	Llonch 2021	human
BHMT2	up	Llonch 2021	human
SORCS3	up	Llonch 2021	human
CNTLN	up	Llonch 2021	human
FLI1	up	Llonch 2021	human
ENSG00000218283	up	Llonch 2021	human
HMGB1	up	Llonch 2021	human
CCNB3	up	Llonch 2021	human
LCORL	up	Llonch 2021	human
ZNF830	up	Llonch 2021	human
CHST10	up	Llonch 2021	human
XPO1	up	Llonch 2021	human
CCDC66	up	Llonch 2021	human
PPP2R3A	up	Llonch 2021	human
OVCH2	up	Llonch 2021	human
CIR1	up	Llonch 2021	human
CDC42BPA	up	Llonch 2021	human
PSMD10	up	Llonch 2021	human
FAM111A	up	Llonch 2021	human
NOP56	up	Llonch 2021	human
ZMYM4	up	Llonch 2021	human
PRKRIP1	up	Llonch 2021	human
TADA2A	up	Llonch 2021	human
ENSG00000249319	up	Llonch 2021	human
KDM4D	up	Llonch 2021	human
TMEM108	up	Llonch 2021	human
RTF2	up	Llonch 2021	human
PHKA2	up	Llonch 2021	human
ACSL4	up	Llonch 2021	human
RNF169	up	Llonch 2021	human
ENSG00000254993	up	Llonch 2021	human
ENSG00000267607	up	Llonch 2021	human
PABPC1	up	Llonch 2021	human
MPHOSPH8	up	Llonch 2021	human
OSBP	up	Llonch 2021	human
IQCM	up	Llonch 2021	human
C12orf4	up	Llonch 2021	human
UTS2B	up	Llonch 2021	human
MYO9A	up	Llonch 2021	human
MIXL1	up	Llonch 2021	human
UMPS	up	Llonch 2021	human
SUPT6H	up	Llonch 2021	human
ROCK1	up	Llonch 2021	human
PCM1	up	Llonch 2021	human
PGM3	up	Llonch 2021	human
AKAP9	up	Llonch 2021	human
ZNF652	up	Llonch 2021	human
CFAP43	up	Llonch 2021	human
OR51D1	up	Llonch 2021	human
EIF5B	up	Llonch 2021	human
ENSG00000278981	up	Llonch 2021	human
ZNF410	up	Llonch 2021	human
DDX10	up	Llonch 2021	human
PSMD1	up	Llonch 2021	human
DLGAP5	up	Llonch 2021	human
NEK1	up	Llonch 2021	human
ARL17A.1	up	Llonch 2021	human
MCF2L2	up	Llonch 2021	human
MATN2	up	Llonch 2021	human
EIF4E2	up	Llonch 2021	human
ENSG00000228407	up	Llonch 2021	human
LINC01572	up	Llonch 2021	human
RRP1B	up	Llonch 2021	human
MYO16	up	Llonch 2021	human
WDR48	up	Llonch 2021	human
ENOX2	up	Llonch 2021	human
ESCO1	up	Llonch 2021	human
KIF23	up	Llonch 2021	human
UBXN4	up	Llonch 2021	human
UHRF1BP1	up	Llonch 2021	human
AK9	up	Llonch 2021	human
SMC6	up	Llonch 2021	human
KMT2E	up	Llonch 2021	human
SP140L	up	Llonch 2021	human
ACAD9	up	Llonch 2021	human
CACNA1C	up	Llonch 2021	human
HMMR	up	Llonch 2021	human
ENSG00000183199	up	Llonch 2021	human
ENSG00000230649	up	Llonch 2021	human
CASP8AP2	up	Llonch 2021	human
NUP107	up	Llonch 2021	human
MTF2	up	Llonch 2021	human
ENSG00000285090	up	Llonch 2021	human
SYNE2	up	Llonch 2021	human
FKBP3	up	Llonch 2021	human
SARS	up	Llonch 2021	human
UPF3B	up	Llonch 2021	human
COG8	up	Llonch 2021	human
DNMT1	up	Llonch 2021	human
ENSG00000285520	up	Llonch 2021	human
ZNF234	up	Llonch 2021	human
PNPLA8	up	Llonch 2021	human
USP25	up	Llonch 2021	human
TRIP11	up	Llonch 2021	human
ENSG00000286104	up	Llonch 2021	human
PKNOX1	up	Llonch 2021	human
EXO1	up	Llonch 2021	human
EEA1	up	Llonch 2021	human
DHX8	up	Llonch 2021	human
DDX18	up	Llonch 2021	human
ABCE1	up	Llonch 2021	human
SMC3	up	Llonch 2021	human
SRPRA	up	Llonch 2021	human
PON1	up	Llonch 2021	human
ARFGAP3	up	Llonch 2021	human
N4BP2L2	up	Llonch 2021	human
EPS8L1	up	Llonch 2021	human
ECT2	up	Llonch 2021	human
